Source 1	Source 2	p	q
Kostia|GCB	Kostia|ABC	0.43333293507477844	1.0
Kostia|GCB	BCCA|GCB	2.780440333095642e-07	1.0009585199144312e-05
Kostia|GCB	BCCA|ABC	1.5170381341967886e-07	5.461337283108439e-06
Kostia|GCB	NCI|GCB	1.1673499194156215e-25	4.202459709896237e-24
Kostia|GCB	NCI|ABC	2.412840832248741e-27	8.686226996095468e-26
Kostia|ABC	Kostia|GCB	0.43333293507477844	1.0
Kostia|ABC	BCCA|GCB	5.483409370851344e-08	1.974027373506484e-06
Kostia|ABC	BCCA|ABC	1.9151973402205465e-08	6.894710424793967e-07
Kostia|ABC	NCI|GCB	1.062629459519316e-21	3.825466054269537e-20
Kostia|ABC	NCI|ABC	9.207101144077221e-23	3.3145564118677997e-21
BCCA|GCB	Kostia|GCB	2.780440333095642e-07	1.0009585199144312e-05
BCCA|GCB	Kostia|ABC	5.483409370851344e-08	1.974027373506484e-06
BCCA|GCB	BCCA|ABC	0.47727300002084394	1.0
BCCA|GCB	NCI|GCB	9.419886741780263e-24	3.391159227040895e-22
BCCA|GCB	NCI|ABC	3.761500987865523e-23	1.3541403556315882e-21
BCCA|ABC	Kostia|GCB	1.5170381341967886e-07	5.461337283108439e-06
BCCA|ABC	Kostia|ABC	1.9151973402205465e-08	6.894710424793967e-07
BCCA|ABC	BCCA|GCB	0.47727300002084394	1.0
BCCA|ABC	NCI|GCB	4.5432032196672145e-18	1.6355531590801972e-16
BCCA|ABC	NCI|ABC	1.5640462043572572e-15	5.6305663356861255e-14
NCI|GCB	Kostia|GCB	1.1673499194156215e-25	4.202459709896237e-24
NCI|GCB	Kostia|ABC	1.062629459519316e-21	3.825466054269537e-20
NCI|GCB	BCCA|GCB	9.419886741780263e-24	3.391159227040895e-22
NCI|GCB	BCCA|ABC	4.5432032196672145e-18	1.6355531590801972e-16
NCI|GCB	NCI|ABC	0.002146373353806005	0.07726944073701618
NCI|ABC	Kostia|GCB	2.412840832248741e-27	8.686226996095468e-26
NCI|ABC	Kostia|ABC	9.207101144077221e-23	3.3145564118677997e-21
NCI|ABC	BCCA|GCB	3.761500987865523e-23	1.3541403556315882e-21
NCI|ABC	BCCA|ABC	1.5640462043572572e-15	5.6305663356861255e-14
NCI|ABC	NCI|GCB	0.002146373353806005	0.07726944073701618
