Source 1	Source 2	p	q
Kostia|GCB	Kostia|ABC	0.03572744811878213	1.0
Kostia|GCB	BCCA|GCB	0.024503827889415405	0.8821378040189546
Kostia|GCB	BCCA|ABC	2.5312595144511063e-05	0.0009112534252023982
Kostia|GCB	NCI|GCB	2.3655127130069706e-11	8.515845766825094e-10
Kostia|GCB	NCI|ABC	1.1467061105154803e-24	4.128141997855729e-23
Kostia|ABC	Kostia|GCB	0.03572744811878213	1.0
Kostia|ABC	BCCA|GCB	0.841743967031976	1.0
Kostia|ABC	BCCA|ABC	0.01171971559362704	0.42190976137057346
Kostia|ABC	NCI|GCB	1.1631269412046598e-06	4.187256988336775e-05
Kostia|ABC	NCI|ABC	2.1250094621670216e-18	7.650034063801278e-17
BCCA|GCB	Kostia|GCB	0.024503827889415405	0.8821378040189546
BCCA|GCB	Kostia|ABC	0.841743967031976	1.0
BCCA|GCB	BCCA|ABC	0.002626501365293658	0.0945540491505717
BCCA|GCB	NCI|GCB	2.224938720290932e-10	8.009779393047354e-09
BCCA|GCB	NCI|ABC	7.43075620428153e-32	2.6750722335413507e-30
BCCA|ABC	Kostia|GCB	2.5312595144511063e-05	0.0009112534252023982
BCCA|ABC	Kostia|ABC	0.01171971559362704	0.42190976137057346
BCCA|ABC	BCCA|GCB	0.002626501365293658	0.0945540491505717
BCCA|ABC	NCI|GCB	0.017099951474970145	0.6155982530989252
BCCA|ABC	NCI|ABC	1.480810931404787e-14	5.330919353057233e-13
NCI|GCB	Kostia|GCB	2.3655127130069706e-11	8.515845766825094e-10
NCI|GCB	Kostia|ABC	1.1631269412046598e-06	4.187256988336775e-05
NCI|GCB	BCCA|GCB	2.224938720290932e-10	8.009779393047354e-09
NCI|GCB	BCCA|ABC	0.017099951474970145	0.6155982530989252
NCI|GCB	NCI|ABC	9.85281283628219e-12	3.5470126210615885e-10
NCI|ABC	Kostia|GCB	1.1467061105154803e-24	4.128141997855729e-23
NCI|ABC	Kostia|ABC	2.1250094621670216e-18	7.650034063801278e-17
NCI|ABC	BCCA|GCB	7.43075620428153e-32	2.6750722335413507e-30
NCI|ABC	BCCA|ABC	1.480810931404787e-14	5.330919353057233e-13
NCI|ABC	NCI|GCB	9.85281283628219e-12	3.5470126210615885e-10
